date_issued,start_date,finish_date,status,closure,on_street,from_street,to_street,impact,duration,details,description,activity_type,traffic_district,infrastructure,latitude,longitude
8/17/2023,8/17/2023,12/31/2023,REVISED,104 Av Lane Reductions,104 Avenue NW,120 Street NW,110 Street NW,Travel Delays,2 Months,"104 Av, 120 St - 110 St will be reduced to 2 lanes each way starting on Fri, Aug 18th.",WLRT Constructon,Construction,Central,Road and Sidewalk,53.54622861,-113.5102186
8/17/2023,8/17/2023,12/31/2023,REVISED,104 Av Lane Reductions,104 Avenue NW,120 Street NW,110 Street NW,Travel Delays,2 Months,"104 Av, 120 St - 110 St will be reduced to 2 lanes each way starting on Fri, Aug 18th.",WLRT Constructon,Construction,Central,Road and Sidewalk,53.54619287,-113.5286662
9/1/2023,9/7/2023,11/24/2023,Current,Total closure of 115 St and 78 Ave,115 Street NW,80 Avenue NW,78 Avenue NW,Total Closure,11 Weeks,115 St will be totally closed from 80 Ave to 78 Ave for drainage construction. 78 Ave will be completely closed from 115 St going East to the end of the cul-de-sac. Detours for cyclists and vehicles will be in place.,Drainage Construction,Construction,Central,Road and Sidewalk,53.51605018,-113.5288453
4/4/2023,3/31/2023,11/30/2023,Current,Single lane and sidewalk closure on 112 St,112 Street NW,86 Avenue NW,87 Avenue NW,Travel Delays,7 Months,The Eastmost lane of  Northbound112 St between 86 Ave and 87 Ave will be closed due to tower construction. The sidewalk on the East side of 112 St will also be closed.,Tower Construction,Construction,Central,Road and Sidewalk,53.52195073,-113.5208476
10/27/2023,10/30/2023,12/22/2023,Current,Single Lane Closures on 167 Ave and 95 St,167 Avenue NW,91 Street NW,95 Street NW,Travel Delays,2 Months,"Westbound north curb lane closure of 167 Ave from 95 St - 91St, Eastbound curb lane closure of 167 Ave from 97 St - 95 St, Northbound east curb lane closure of 95 St from 162 Ave to 167 Ave. Work to be happening 9:00am - 3:30pm.",Power Installation,Construction,Northeast,Road,53.62879013,-113.487131
10/27/2023,10/30/2023,12/22/2023,Current,Single Lane Closures on 167 Ave and 95 St,167 Avenue NW,91 Street NW,95 Street NW,Travel Delays,2 Months,"Westbound north curb lane closure of 167 Ave from 95 St - 91St, Eastbound curb lane closure of 167 Ave from 97 St - 95 St, Northbound east curb lane closure of 95 St from 162 Ave to 167 Ave. Work to be happening 9:00am - 3:30pm.",Power Installation,Construction,Northeast,Road,53.62872357,-113.4815408
10/30/2023,11/1/2023,11/1/2024,Current,116 Street Lane Reductions,116 Street NW,105 Avenue NW,103A Avenue NW,Travel Delays,1 Year,"Starts Wed, Nov 1st at 9am. 116 St will be reduced to a single lane each way from 103A Av to the Unity Square access north of 104 Av. Left turns will be maintained.",West LRT Construction,Construction,Central,Road,53.54825818,-113.5213076
10/31/2023,10/30/2023,8/28/2024,Current,106 st reduced to one lane per direction,106 Street NW,Whitemud Drive NW,47 Avenue NW,Travel Delays,Long Term Drainage Project,106st from Whitemud Dr to 47ave will be reduced to a single lane in both directions. Southbound left turning movement will be ban at 106st & 45ave intersection. Bike and vehicle traffic to share travel lanes. Speed reduced accordingly. Expect delays.,Drainage Shaft,Construction,Southwest,Road,53.48479148,-113.5043493
10/31/2023,10/30/2023,8/28/2024,Current,106 st reduced to one lane per direction,106 Street NW,Whitemud Drive NW,47 Avenue NW,Travel Delays,Long Term Drainage Project,106st from Whitemud Dr to 47ave will be reduced to a single lane in both directions. Southbound left turning movement will be ban at 106st & 45ave intersection. Bike and vehicle traffic to share travel lanes. Speed reduced accordingly. Expect delays.,Drainage Shaft,Construction,Southwest,Road,53.48134805,-113.5043076
10/31/2023,10/31/2023,12/31/2023,Current,Power Aerial Install,Aurum Road NE,132 Avenue NE,Meridian Street,Major Delays,2 Months 9 am 3 pm,Starts Tuesday October 31 at 9 am WB on Aurum Road 132 Avenue NE Meridian Street will be reduced one lane due to Power aerial install,Power Aerial Install,Construction,Southeast,Road,53.59211885,-113.31109
11/7/2023,11/14/2023,11/28/2023,Current,"108 St Closed, Jasper Ave - 102 Ave",108 Street NW,Jasper Avenue,102 Avenue NW,Total Closure,2 weeks,108 St closed from Jasper Ave to 102 Ave with the intermittent opening of southbound traffic from 102 Ave - Jasper Ave as work progresses. East sidewalk closed Nov 07 - Nov 28 with local access maintained.,Drainage Install,Construction,Central,Road and Sidewalk,53.54093118,-113.5065962
7/14/2023,7/13/2023,5/31/2024,Current,36A Ave Total Closure,36A Avenue NW,106 Street NW,105B Street NW,Total Closure,Long Term Drainage Project,Starts July 13th. 36a ave from 106 st to 105B st will be closed due to a drainage shaft installation. Temporary pedestrian detour in place. Use other routes.,Drainage Shaft,Construction,Southwest,Road and Sidewalk,53.47121213,-113.5041542
11/9/2023,11/14/2023,11/27/2023,Current,Reduced to Single Lane Each Direction,111 Avenue NW,92 Street NW,94 Street NW,Increased Travel Time,2 Weeks,"Starts Tuesday Nov 14 at 9am for 2 weeks. 111 Ave, 92 St - 94 St reduced to single lane in each direction due to epcor drainage repair. Detour using other route.",Epcor Drainage Repair,Construction,Central,Road,53.56056072,-113.4826546
11/9/2023,11/14/2023,11/28/2023,Current,95 Av Reduced to 1 Lane Each Way,95 Avenue NW,148 Street NW,149 Street NW,Travel Delays,2 Weeks,95 Av will be reduced to 1 lane in each direction from East of 149 St to 149 St. The WB to SB left turn will be banned and the sidewalk on the South side of 95 Av will be closed.,Water Line Install,Construction,Northwest,Road and Sidewalk,53.53151756,-113.5762734
11/9/2023,11/15/2023,12/9/2023,Current,98 St Closure,98 Street NW,109A Avenue NW,110A Avenue NW,Total Closure,4 Weeks,Starts Nov 15 for 4 weeks. 98 St from 109A Ave - 110A Ave closed due to waterline installation. Detour using other route.,Waterline Installation,Construction,Central,Road,53.55609249,-113.4925425
11/9/2023,11/29/2023,11/30/2023,Current,142 St Reduced to 1 Lane SB,142 Street NW,101 Avenue NW,100 Avenue NW,Travel Delays,2 Days (9am to 3pm),142 St from 101 Av to 100 Av will be reduced to 1 lane SB for 2 days during off peak hours. Use other routes.,Crane Lift,Construction,Northwest,Road,53.54124331,-113.5656916
11/9/2023,11/14/2023,12/5/2023,Current,"123 St Closed, 105 Ave - South of 105 Ave",123 Street NW,105 Avenue NW,Stony Plain Road,Total Closure,3 Weeks,123 St closed from 105 Ave to the first access south of 105 Ave & the south and east crosswalks closed at the 105 Ave / 123 St intersection.  Local access on 123 St will be maintained from Stony Plain Rd to south of the closure.,Water Valve Installation,Construction,Central,Road and Sidewalk,53.54779366,-113.534119
11/14/2023,11/22/2023,11/29/2023,Current,Westbound 153 Ave Reduced to One Lane,153 Avenue NW,94A Street NW,95 Street NW,Travel Delays,One Week,Westbound 153 Ave will be reduced to one inside lane for the duration of the repairs.,Drainage Repair,Construction,Northeast,Road,53.61443575,-113.4860158
1/30/2023,8/15/2022,12/16/2023,REVISED,Sidewalk Closures,100 Street NW,101A Avenue NW,102 Avenue NW,Total Closure,12 Months,"Sidewalk closures; 1) E/S 100 St, 101A Ave - N of 101A Ave 2) W/S 99 St, 101A Ave - N of 101A Ave 3) N/S 101A Ave, 99 St - 100 St.",Centennial Plaza Redevelopment,Construction,Central,Sidewalk,53.54225936,-113.4905024
11/14/2023,11/21/2023,12/12/2023,Current,106A Ave Closure,106A Avenue NW,93 Street NW,95 Street NW,Total Closure,3 Weeks,Starts Nov 21 for 3 weeks. 106A Ave closed due to waterline installation. Detour using other route.,Waterline Installation,Construction,Central,Road,53.55281091,-113.479382
11/14/2023,11/20/2023,11/30/2023,Current,Closure of Fox Dr service road at 142 St,Fox Drive NW,142 Street NW,Whitemud Drive NW,Total Closure,10 Days,The Fox Dr service road will be closed between 142 St and the Whitemud Dr off ramp for sewer construction. Please use Fox Dr to access 142 St.,Sewer Repair,Construction,Central,Road,53.50314159,-113.5624221
11/15/2023,12/1/2023,1/2/2024,Current,148 St Travel Delays and Control Changes,148 Street NW,92 Avenue NW,100 Avenue NW,Travel Delays,1 Month,"From 5pm to 11pm each night traffic volumes will increase on 148 St. There will be traffic control changes on 148 St at 95 Av, 96 Av and 99 Av and on 147 St and 99 Av as these intersections will be converted to all way stops.",Candy Cane Lane,Special Event,Northwest,Road,53.53926506,-113.5762693
11/15/2023,12/1/2023,1/2/2024,Current,148 St Travel Delays and Control Changes,148 Street NW,92 Avenue NW,100 Avenue NW,Travel Delays,1 Month,"From 5pm to 11pm each night traffic volumes will increase on 148 St. There will be traffic control changes on 148 St at 95 Av, 96 Av and 99 Av and on 147 St and 99 Av as these intersections will be converted to all way stops.",Candy Cane Lane,Special Event,Northwest,Road,53.52573619,-113.5761955
11/15/2023,12/9/2023,12/23/2023,Current,148 St Closed,148 Street NW,92 Avenue NW,100 Avenue NW,Total Closure,3 Nights,"From 5pm to 11pm on December 9, 16, and 23, 148 St will be closed to vehicular traffic from 92 Av to 100 Av and will be open only to pedestrians. 147 St from 100 Av to 99 Av will be open to SB traffic and 99 Av, 147 St to 146 St will be EB only",Candy Cane Lane Walk Nights,Special Event,Northwest,Road,53.53926506,-113.5762693
11/15/2023,12/9/2023,12/23/2023,Current,148 St Closed,148 Street NW,92 Avenue NW,100 Avenue NW,Total Closure,3 Nights,"From 5pm to 11pm on December 9, 16, and 23, 148 St will be closed to vehicular traffic from 92 Av to 100 Av and will be open only to pedestrians. 147 St from 100 Av to 99 Av will be open to SB traffic and 99 Av, 147 St to 146 St will be EB only",Candy Cane Lane Walk Nights,Special Event,Northwest,Road,53.52573619,-113.5761955
11/17/2023,12/4/2023,12/18/2023,Current,82 AV Lane Closure,82 Avenue NW,95A Street NW,93 Street NW,Increased Travel Time,Two Weeks,"82 AV eastbound, 95A - 93 ST reduced to a single lane daily 07:00-15:30hrs. Pedestrians diverted to the north sidewalk.",Sewer Repair,Construction,Central,Road,53.51803918,-113.4756373
11/17/2023,12/4/2023,12/18/2023,Current,82 AV Lane Closure,82 Avenue NW,95A Street NW,93 Street NW,Increased Travel Time,Two Weeks,"82 AV eastbound, 95A - 93 ST reduced to a single lane daily 07:00-15:30hrs. Pedestrians diverted to the north sidewalk.",Sewer Repair,Construction,Central,Road,53.51802982,-113.4701518
11/20/2023,11/26/2023,12/26/2023,Current,NB and SB 97 St #2 Lane Closures,97 Street NW,124 Avenue NW,128 Avenue NW,Travel Delays,1 Month,Northbound and Southbound 97 Street will have #2 lane closures under the CN Bridge.,Bridge Repairs,Construction,Northeast,Road,53.57944029,-113.4922811
11/20/2023,11/26/2023,12/26/2023,Current,NB and SB 97 St #2 Lane Closures,97 Street NW,124 Avenue NW,128 Avenue NW,Travel Delays,1 Month,Northbound and Southbound 97 Street will have #2 lane closures under the CN Bridge.,Bridge Repairs,Construction,Northeast,Road,53.58595501,-113.4920072
1/11/2023,5/25/2021,12/22/2023,Current,231 St Closed from Whitemud Dr to Rosenthal Blvd,231 Street NW,Whitemud Drive,Rosenthal Bouevard,Total Closure,2.5 Years,"Starting at 9AM on May 25, 231 Street will be closed from Whitemud Drive to North of Rosenthal Boulevard. Left and right turns will be banned to travel Northbound 231 Street. Detour using alternate routes.",Roadworks,Construction,Northwest,Road,53.5122111,-113.7134481
10/25/2023,11/20/2023,12/15/2023,Current,Right Lane Close,Whitemud Drive,Terwillegar Drive,122 Street,Travel Delays,26 Days,Right lane closed on Whitemud Drive Eastbound from Terwillegar Drive to 122 Street.  Use centre and left lane.,Rainbow Valley Bridge Work,Construction,Southwest,Road,53.48306918,-113.5411841
10/25/2023,11/20/2023,12/15/2023,Current,Right Lane Close,Whitemud Drive,Terwillegar Drive,122 Street,Travel Delays,26 Days,Right lane closed on Whitemud Drive Eastbound from Terwillegar Drive to 122 Street.  Use centre and left lane.,Rainbow Valley Bridge Work,Construction,Southwest,Road,53.48513037,-113.5716677
11/22/2023,12/4/2023,12/8/2023,Current,Westbound 129 Avenue Closure,129 Avenue NW,Fort Road,64 Street NW,Directional Closure,5 Days,"Westbound 129 Ave will be closed from West of Fort Road to 64 St. Northbound Fort Rd will be reduced to two inside lanes for the duration of the work. East crosswalk of Fort Road/129 Ave will be closed, pedestrian detour to the East",Utility Repair,Construction,Northeast,Road,53.58761868,-113.4372848
10/25/2023,11/25/2023,12/15/2023,Current,Right lane closure,Whitemud Drive,122 Street,Terwillegar Drive,Travel Delays,30 Days,Right lane closure westbound on Whitemud Drive from 122 Street to Terwillegar Drive.  Use centre and left lane.,Rainbow Valley Bridge Work,Construction,Southwest,Road,53.48513037,-113.5716677
10/25/2023,11/25/2023,12/15/2023,Current,Right lane closure,Whitemud Drive,122 Street,Terwillegar Drive,Travel Delays,30 Days,Right lane closure westbound on Whitemud Drive from 122 Street to Terwillegar Drive.  Use centre and left lane.,Rainbow Valley Bridge Work,Construction,Southwest,Road,53.48306918,-113.5411841
11/22/2023,11/22/2023,11/30/2023,REVISED,Fort Road Overhead Sign Installation,Fort Road,124 Avenue NW,125 Avenue NW,Travel Delays,"1 Week, 10PM to 5AM",Fort Road/Wayne Gretzky Drive including on the EB Yellowhead to Fort Rd exit ramp will have nightly lane closures for overhead sign installation.,Overhead Sign Installation,Construction,Northeast,Road,53.5792203,-113.4542956
11/22/2023,11/22/2023,11/30/2023,REVISED,Fort Road Overhead Sign Installation,Fort Road,124 Avenue NW,125 Avenue NW,Travel Delays,"1 Week, 10PM to 5AM",Fort Road/Wayne Gretzky Drive including on the EB Yellowhead to Fort Rd exit ramp will have nightly lane closures for overhead sign installation.,Overhead Sign Installation,Construction,Northeast,Road,53.58279638,-113.4482106
